retailer,product_name,url,url_quality,variant_match
Gee Beauty,Coco Deo,https://geebeauty.ca/products/the-coco-deo,pdp,
Gee Beauty,Apres Shave Oil,https://geebeauty.ca/products/apres-shave-oil,pdp,
Gee Beauty,Santal Deo,https://geebeauty.ca/products/the-santal-deo,pdp,
Gee Beauty,Magic Powder,https://geebeauty.ca/products/magic-powder,pdp,
Cult Beauty,Thigh Rescue 60g,https://www.cultbeauty.com/p/megababe-thigh-rescue-various-sizes/13798812/,pdp,13798813
Cult Beauty,Thigh Rescue Mini 23g,https://www.cultbeauty.com/p/megababe-thigh-rescue-various-sizes/13798812/,pdp,13798814
Cult Beauty,Bust Dust,https://www.cultbeauty.com/p/megababe-bust-dust-anti-boob-sweat-powder-85g/14237285/,pdp,
Cult Beauty,No More Chafe Duo,https://www.cultbeauty.com/p/megababe-no-more-chafe-duo/13910936/,pdp,
Cult Beauty,Rosy Pits 75g,https://www.cultbeauty.com/p/megababe-rosy-pits-daily-deodorant-various-sizes/13906685/,pdp,13798816
Cult Beauty,Rosy Pits Mini 28g,https://www.cultbeauty.com/p/megababe-rosy-pits-daily-deodorant-various-sizes/13906685/,pdp,13813425
Cult Beauty,Smoothie Deo 75g,https://www.cultbeauty.com/p/megababe-the-smoothie-deo-fruit-enzyme-daily-deodorant-various-sizes/13906686/,pdp,13798817
Cult Beauty,Smoothie Deo Mini 28g,https://www.cultbeauty.com/p/megababe-the-smoothie-deo-fruit-enzyme-daily-deodorant-various-sizes/13906686/,pdp,13813427
Cult Beauty,Geo Deo,https://www.cultbeauty.com/p/megababe-the-geo-deo-multi-mineral-daily-deodorant-75g/13889967/,pdp,
Cult Beauty,Happy Pits,https://www.cultbeauty.com/p/megababe-happy-pits-detoxifying-underarm-mask-90ml/13798837/,pdp,
Cult Beauty,Body Dust Mini,https://www.cultbeauty.com/p/megababe-body-dust-mini-top-to-toe-powder-48g/14221088/,pdp,
Cult Beauty,Bidet Bar,https://www.cultbeauty.com/p/megababe-bidet-bar-ph-balancing-feminine-cleansing-bar-127g/15204332/,pdp,
Cult Beauty,Peachy Deo,https://www.cultbeauty.com/p/megababe-the-peachy-deo-skincare-deodorant-75g/16425215/,pdp,
Cult Beauty,Night Rescue,https://www.cultbeauty.com/p/megababe-night-rescue-overnight-brightening-stick-60g/14859030/,pdp,
Cult Beauty,Coco Deo,https://www.cultbeauty.com/p/mergababe-the-coco-deo-skincare-deodorant-75g/16425214/,pdp,
Cult Beauty,Space Bar,https://www.cultbeauty.com/p/megababe-space-bar-detoxifying-charcoal-underarm-bar-99g/13798836/,pdp,
Cult Beauty,Body Dust,https://www.cultbeauty.com/p/megababe-body-dust-top-to-toe-powder-170g/13798835/,pdp,
Cult Beauty,No More Sweat Duo,https://www.cultbeauty.com/p/megababe-no-more-sweat-duo/13910938/,pdp,
Cult Beauty,Dust Puff,https://www.cultbeauty.com/p/megababe-dust-puff-body-powder-puff/13798838/,pdp,
Cult Beauty,Best of Megababe Trio,https://www.cultbeauty.com/p/best-of-megababe-trio/13910940/,pdp,
Cult Beauty,Unscented Thigh Rescue,https://www.cultbeauty.com/p/megababe-unscented-thigh-rescue-60g/14741734/,pdp,
Cult Beauty,Santal Deo,https://www.cultbeauty.com/p/megababe-the-santal-deo-skincare-deodorant-75g/16425217/,pdp,
Cult Beauty,Le Tush,https://www.cultbeauty.com/c/brands/megababe/shop-all/,category_page,
Boots,Thigh Rescue,https://www.boots.com/megababe-thigh-rescue-anti-friction-stick-60g-10342766,pdp,
Boots,Night Rescue,https://www.boots.com/megababe-night-rescue-bright-stick-60g-10342767,pdp,
Boots,Le Tush,https://www.boots.com/megababe-le-tush-clarifying-butt-mask-200ml-10342768,pdp,
Boots,Thigh Rescue Mini 23g,https://www.boots.com/megababe-thigh-rescue-mini-anti-friction-stick-mini-23g-10342769,pdp,
Boots,Apres Shave,https://www.boots.com/megababe-apres-shave-ingrown-and-razor-burn-roll-on-solution-89ml-10358834,pdp,
ASOS,Thigh Rescue,https://www.asos.com/megababe/megababe-thigh-rescue-anti-friction-stick-unscented/prd/206648384,pdp,
ASOS,Thigh Rescue Mini,https://www.asos.com/megababe/megababe-thigh-rescue-mini-anti-chafe-stick-23g/prd/204931445,pdp,
